model,class,precision,recall,f1-score
XGBoost,Electronic,88.57994041708044,89.28928928928929,88.93320039880359
XGBoost,Experimental,87.43615934627171,85.68568568568568,86.5520728008089
XGBoost,Folk,89.20510304219823,90.9,90.0445765230312
XGBoost,Hip-Hop,92.64555669050051,90.97291875626881,91.80161943319838
XGBoost,Instrumental,89.2233009708738,91.9,90.54187192118228
XGBoost,International,91.16465863453816,90.8,90.98196392785572
XGBoost,Pop,85.49695740365112,84.3,84.89425981873111
XGBoost,Rock,88.97795591182364,88.88888888888889,88.93340010015022
FLAML-Optimized XGBoost,Electronic,92.43951612903226,91.7917917917918,92.1145153189352
FLAML-Optimized XGBoost,Experimental,91.6923076923077,89.4894894894895,90.5775075987842
FLAML-Optimized XGBoost,Folk,91.90243902439025,94.19999999999999,93.03703703703704
FLAML-Optimized XGBoost,Hip-Hop,94.51776649746193,93.38014042126379,93.94550958627649
FLAML-Optimized XGBoost,Instrumental,91.86834462729912,94.89999999999999,93.35956714215445
FLAML-Optimized XGBoost,International,93.78134403209629,93.5,93.64046069103655
FLAML-Optimized XGBoost,Pop,91.0386965376782,89.4,90.21190716448034
FLAML-Optimized XGBoost,Rock,92.23880597014926,92.7927927927928,92.51497005988024
